name,code,bank,product_type,sale_type,fund_type,issuer,risk_level,status,net_value,currency,min_amount,investor_scope,fee_standard,fee_method,notice_url,filing_number,fetch_time,source
招银理财招睿颐养丰润两年定开6号固定收益类理财计划,100116B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0309860000000002,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243548,Playwright
招银理财招睿颐养丰润两年定开7号固定收益类理财计划,100117A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.016532,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243550,Playwright
招银理财招睿颐养丰润两年定开7号固定收益类理财计划,100117B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.01673,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243551,Playwright
招银理财招睿颐养丰润两年定开8号增强型固定收益类理财计划,100118A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0144529999999998,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243553,Playwright
招银理财招睿颐养丰润两年定开8号增强型固定收益类理财计划,100118B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0144529999999998,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243554,Playwright
招银理财招睿颐养丰润一年定开1号增强型固定收益类理财计划,100136,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.023066,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243558,Playwright
招银理财招睿颐养丰润一年定开2号增强型固定收益类理财计划,100137,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0111860000000001,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243560,Playwright
招银理财招睿颐养丰润十四月定开1号固定收益类理财计划,100138,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.018017,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243561,Playwright
招银理财招睿颐养丰润十四月定开2号固定收益类理财计划,100139A,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.018314,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243563,Playwright
招银理财招睿颐养丰润十四月定开3号固定收益类理财计划,100140A,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.016829,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243565,Playwright
招银理财招睿颐养丰润十四月定开4号固定收益类理财计划,100141A,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.015839,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243567,Playwright
代销招银理财招睿颐养丰润十四月定开4号固定收益类理财计划,100141B,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.015839,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243568,Playwright
招银理财招睿颐养丰润十四月定开5号固定收益类理财计划,100142A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.022274,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243570,Playwright
招银理财招睿颐养丰润十四月定开5号固定收益类理财计划,100142B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.022076,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243571,Playwright
招银理财招睿颐养丰润十四月定开6号固定收益类理财计划,100143A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.007622,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243573,Playwright
招银理财招睿颐养丰润十四月定开6号固定收益类理财计划,100143B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.007721,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243574,Playwright
招银理财招睿颐养丰润十四月定开7号增强型固定收益类理财计划,100144A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.007127,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243576,Playwright
招银理财招睿颐养丰润十四月定开7号增强型固定收益类理财计划,100144B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.007325,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.15%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243577,Playwright
招银理财招睿颐养丰润十四月定开8号增强型固定收益类理财计划,100145A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0133640000000002,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.15%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243579,Playwright
招银理财招睿颐养丰润十四月定开8号增强型固定收益类理财计划,100145B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.013463,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.15%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243580,Playwright
招银理财招睿颐养丰润十四月定开9号增强型固定收益类理财计划,100146A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.013265,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.1%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243582,Playwright
招银理财招睿颐养丰润十四月定开9号增强型固定收益类理财计划,100146B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.013265,人民币,400000.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.1%销售服务费：0.15%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243583,Playwright
招银理财招睿颐养丰润十四月定开10号增强型固定收益类理财计划,100147A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.016136,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.1%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243585,Playwright
招银理财招睿颐养丰润十四月定开10号增强型固定收益类理财计划,100147B,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.016235,人民币,400000.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243587,Playwright
招银理财招睿颐养丰润三年定开1号增强型固定收益类理财计划,100151A,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.042668,人民币,100.0,遵循风险匹配原则,认购费：0.9%/笔，从认购金额中扣除申购费：0.9%/笔，从申购金额中扣除赎回费：不收取固定管理费：0.5%,认购费申购费赎回费固定管理费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243588,Playwright
招银理财招睿颐养丰润三年定开1号增强型固定收益类理财计划,100151C,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0253430000000001,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.5%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243590,Playwright
招银理财招睿颐养丰润三年定开2号增强型固定收益类理财计划,100152A,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.031976,人民币,100.0,遵循风险匹配原则,认购费：0.9%/笔，从认购金额中扣除申购费：0.9%/笔，从申购金额中扣除赎回费：不收取固定管理费：0.5%,认购费申购费赎回费固定管理费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243591,Playwright
招银理财招睿颐养丰润三年定开2号增强型固定收益类理财计划,100152C,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.016136,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.5%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243593,Playwright
招银理财招睿颐养丰润十八月封闭1号固定收益类理财计划,100181A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,0.996732,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.2%销售服务费：0.25%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243594,Playwright
招银理财颐养丰润十八月封闭7号增强型固定收益类理财计划,100187A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.002078,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243595,Playwright
招银理财颐养丰润十八月封闭8号增强型固定收益类理财计划,100188A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.000791,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：无固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243597,Playwright
招银理财颐养丰润十八月封闭9号增强型固定收益类理财计划,100189A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0012860000000001,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-13T15:46:25.243598,Playwright
